City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Bam,IR,2021-05-31 16:12:54,29.106,58.357,93.18,6,0,8.7,clear sky
221,Nanortalik,GL,2021-05-31 16:15:24,60.1432,-45.2371,39.15,77,50,11.68,scattered clouds
222,Tiksi,RU,2021-05-31 16:11:27,71.6872,128.8694,34.57,89,9,2.35,clear sky
223,Quang Ngai,VN,2021-05-31 16:15:24,15.1167,108.8,79.61,81,42,4.54,scattered clouds
224,Salalah,OM,2021-05-31 16:15:25,17.0151,54.0924,84.29,84,75,8.05,light intensity drizzle
225,Imbituba,BR,2021-05-31 16:15:25,-28.24,-48.6703,66.09,61,6,4.21,clear sky
226,Floro,NO,2021-05-31 16:15:26,61.5996,5.0328,74.23,76,20,10.36,few clouds
227,Shepsi,RU,2021-05-31 16:15:26,44.0361,39.1489,70.25,79,53,5.26,broken clouds
228,Luderitz,NA,2021-05-31 16:11:51,-26.6481,15.1594,63.91,62,0,25.1,clear sky
229,Buin,CL,2021-05-31 16:15:26,-33.7333,-70.75,69.06,24,52,2.21,broken clouds
230,Egvekinot,RU,2021-05-31 16:15:27,66.3167,-179.1667,35.29,52,98,7.47,overcast clouds
231,Lardos,GR,2021-05-31 16:15:27,36.0942,28.0157,73.94,65,0,14.03,clear sky
232,Port Elizabeth,ZA,2021-05-31 16:11:00,-33.918,25.5701,58.1,73,100,15.75,overcast clouds
233,Syracuse,IT,2021-05-31 16:15:28,37.0881,15.2792,75.25,76,99,9.62,overcast clouds
234,Caramay,PH,2021-05-31 16:15:28,10.1815,119.236,79.72,87,70,4.12,broken clouds
235,Pedernales,DO,2021-05-31 16:15:28,18.0384,-71.744,85.12,62,77,2.37,broken clouds
236,Visnes,NO,2021-05-31 16:15:29,59.3556,5.2242,61.11,76,0,9.22,clear sky
237,Quatre Cocos,MU,2021-05-31 16:15:29,-20.2078,57.7625,73.51,72,1,10.74,clear sky
238,La Ronge,CA,2021-05-31 16:15:29,55.1001,-105.2842,64.65,39,90,2.3,overcast clouds
239,Le Port,RE,2021-05-31 16:10:39,-20.9373,55.2919,71.6,92,2,2.77,clear sky
240,Lazaro Cardenas,MX,2021-05-31 16:15:30,17.9583,-102.2,85.95,61,88,4.16,overcast clouds
241,Coquimbo,CL,2021-05-31 16:15:30,-29.9533,-71.3436,67.73,55,0,1.25,clear sky
242,Manzanares,ES,2021-05-31 16:15:31,38.9991,-3.3699,87.35,31,97,12.88,overcast clouds
243,Caranavi,BO,2021-05-31 16:15:31,-15.8167,-67.55,67.64,85,100,2.91,overcast clouds
244,Mandalgovi,MN,2021-05-31 16:15:31,45.7625,106.2708,42.76,32,37,10.16,scattered clouds
245,Bollnas,SE,2021-05-31 16:15:32,61.3482,16.3946,60.39,36,100,2.93,overcast clouds
246,Quelimane,MZ,2021-05-31 16:15:32,-17.8786,36.8883,64.35,77,0,3.44,clear sky
247,Batagay-Alyta,RU,2021-05-31 16:15:32,67.8006,130.4114,41.23,89,99,2.89,overcast clouds
248,Leeton,AU,2021-05-31 16:15:33,-34.5667,146.4,46.76,56,100,5.61,overcast clouds
249,Olafsvik,IS,2021-05-31 16:15:33,64.8945,-23.7142,46.08,77,85,19.51,overcast clouds
250,Tromso,NO,2021-05-31 16:15:34,69.6496,18.957,54.25,87,75,11.5,broken clouds
251,Freeport,US,2021-05-31 16:15:34,40.6576,-73.5832,61.02,75,90,7.0,overcast clouds
252,Kabinda,CD,2021-05-31 16:15:35,-6.1333,24.4833,77.79,37,56,3.33,broken clouds
253,Binga,ZW,2021-05-31 16:15:35,-17.6203,27.3414,69.58,44,53,4.68,broken clouds
254,Fevik,NO,2021-05-31 16:15:35,58.3794,8.6766,80.1,57,71,7.67,broken clouds
255,Linxia,CN,2021-05-31 16:15:36,35.6003,103.2064,53.94,59,100,3.13,overcast clouds
256,Antsohihy,MG,2021-05-31 16:15:36,-14.8796,47.9875,75.6,76,11,3.13,few clouds
257,Miraflores,MX,2021-05-31 16:15:37,19.2167,-98.8083,66.96,52,100,1.86,overcast clouds
