City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Coihaique,CL,2021-05-31 02:16:01,-45.5752,-72.0662,42.75,87,0,3.44
173,Khash,IR,2021-05-31 02:20:19,28.2211,61.2158,78.04,11,0,4.27
174,Dikson,RU,2021-05-31 02:20:19,73.5069,80.5464,30.22,98,100,10.27
175,Ponta Do Sol,PT,2021-05-31 02:20:19,32.6667,-17.1,64.0,56,13,2.17
176,Mhlume,SZ,2021-05-31 02:20:20,-26.0333,31.85,58.86,88,90,3.38
177,Velez-Malaga,ES,2021-05-31 02:20:20,36.7726,-4.1005,79.72,65,99,4.5
178,Alyangula,AU,2021-05-31 02:15:50,-13.8483,136.4192,78.89,72,100,14.63
179,Kandiari,PK,2021-05-31 02:20:21,26.9156,68.5216,90.43,45,0,11.41
180,Belmonte,BR,2021-05-31 02:20:21,-15.8631,-38.8828,77.5,81,6,4.45
181,Padang,ID,2021-05-31 02:20:21,-0.9492,100.3543,82.45,80,99,1.01
182,Ahar,IR,2021-05-31 02:20:22,38.4774,47.0699,58.89,77,0,5.1
183,Cidreira,BR,2021-05-31 02:20:22,-30.1811,-50.2056,48.52,65,24,7.31
184,Taltal,CL,2021-05-31 02:20:22,-25.4,-70.4833,63.61,74,11,5.7
185,Tautira,PF,2021-05-31 02:20:23,-17.7333,-149.15,82.42,69,100,15.12
186,Lorengau,PG,2021-05-31 02:20:23,-2.0226,147.2712,83.98,73,100,10.25
187,Beppu,JP,2021-05-31 02:20:23,33.2736,131.4919,81.48,49,0,5.59
188,Freetown,SL,2021-05-31 02:20:24,8.484,-13.2299,78.46,86,100,4.47
189,Poya,NC,2021-05-31 02:20:24,-21.35,165.15,71.06,56,96,9.55
190,Charters Towers,AU,2021-05-31 02:20:24,-20.1,146.2667,74.43,51,44,16.75
191,Krasnoselkup,RU,2021-05-31 02:16:00,65.7,82.4667,42.22,89,100,8.25
192,Aklavik,CA,2021-05-31 02:20:25,68.2191,-135.0107,54.32,47,100,6.69
193,Omboue,GA,2021-05-31 02:20:25,-1.5746,9.2618,75.94,90,91,7.56
194,Diego De Almagro,CL,2021-05-31 02:20:26,-26.3667,-70.05,59.7,56,0,1.74
195,Aktash,RU,2021-05-31 02:20:26,50.3,87.7333,47.44,41,3,6.11
196,Rock Sound,BS,2021-05-31 02:20:26,24.9,-76.2,78.91,80,39,15.26
197,Vilyuysk,RU,2021-05-31 02:20:27,63.7553,121.6247,65.35,27,1,11.36
198,Nhamunda,BR,2021-05-31 02:20:27,-2.1861,-56.7131,77.31,79,75,2.13
199,Margate,GB,2021-05-31 02:20:27,51.3813,1.3862,52.3,84,1,3.0
200,Quatre Cocos,MU,2021-05-31 02:20:28,-20.2078,57.7625,71.1,80,38,9.55
201,Arlit,NE,2021-05-31 02:20:28,18.7369,7.3853,87.94,9,99,8.68
202,Antalaha,MG,2021-05-31 02:20:29,-14.9003,50.2788,70.88,90,56,4.18
203,Qarchi Gak,AF,2021-05-31 02:20:29,37.04,66.7889,85.1,15,0,4.09
204,Bambous Virieux,MU,2021-05-31 02:20:29,-20.3428,57.7575,71.22,94,20,9.53
205,Mildura,AU,2021-05-31 02:20:30,-34.2,142.15,60.08,33,37,8.05
206,Serenje,ZM,2021-05-31 02:20:30,-13.2325,30.2352,49.15,62,0,4.36
207,Kavaratti,IN,2021-05-31 02:20:30,10.5669,72.642,82.81,78,100,19.98
208,Ojinaga,MX,2021-05-31 02:20:31,29.5667,-104.4167,83.35,51,1,14.97
209,Porto Novo,BJ,2021-05-31 02:20:31,6.4965,2.6036,82.22,80,100,7.49
210,Broken Hill,AU,2021-05-31 02:16:45,-31.95,141.4333,58.71,26,100,12.66
211,Perth,AU,2021-05-31 02:18:14,-31.9333,115.8333,62.67,68,20,16.87
